Ind,Net
0,VisCent
1,VisCent
5,VisCent
7,VisCent
8,VisCent
9,VisCent
11,VisCent
12,VisPeri
13,VisPeri
14,VisPeri
15,VisPeri
16,VisPeri
17,VisPeri
18,VisPeri
19,VisPeri
20,VisPeri
21,VisPeri
23,VisPeri
24,SomMotA
25,SomMotA
27,SomMotA
28,SomMotA
29,SomMotA
30,SomMotA
31,SomMotA
32,SomMotA
33,SomMotA
34,SomMotA
35,SomMotA
36,SomMotA
38,SomMotA
40,SomMotA
43,SomMotB
44,SomMotB
45,SomMotB
46,SomMotB
47,SomMotB
48,SomMotB
49,SomMotB
50,SomMotB
51,SomMotB
52,SomMotB
53,SomMotB
54,SomMotB
55,SomMotB
56,SomMotB
57,SomMotB
58,SomMotB
60,DorsAttnA
62,DorsAttnA
63,DorsAttnA
64,DorsAttnA
65,DorsAttnA
66,DorsAttnA
67,DorsAttnA
68,DorsAttnA
69,DorsAttnA
72,DorsAttnB
73,DorsAttnB
74,DorsAttnB
75,DorsAttnB
76,DorsAttnB
77,DorsAttnB
81,DorsAttnB
82,DorsAttnB
83,DorsAttnB
84,DorsAttnB
85,SalVentAttnA
86,SalVentAttnA
87,SalVentAttnA
88,SalVentAttnA
89,SalVentAttnA
90,SalVentAttnA
91,SalVentAttnA
92,SalVentAttnA
93,SalVentAttnA
94,SalVentAttnA
95,SalVentAttnA
96,SalVentAttnA
97,SalVentAttnA
98,SalVentAttnA
100,SalVentAttnB
101,SalVentAttnB
102,SalVentAttnB
103,SalVentAttnB
104,SalVentAttnB
105,SalVentAttnB
107,SalVentAttnB
119,LimbicA
120,ContA
121,ContA
123,ContA
124,ContA
125,ContA
126,ContA
127,ContA
128,ContA
129,ContA
130,ContA
131,ContA
132,ContA
135,ContB
136,ContB
137,ContB
138,ContB
141,ContB
142,ContB
143,ContC
144,ContC
145,ContC
146,ContC
147,ContC
148,DefaultA
150,DefaultA
151,DefaultA
152,DefaultA
153,DefaultA
154,DefaultA
155,DefaultA
156,DefaultA
157,DefaultA
158,DefaultA
159,DefaultA
162,DefaultA
163,DefaultA
165,DefaultA
169,DefaultB
170,DefaultB
171,DefaultB
172,DefaultB
173,DefaultB
174,DefaultB
176,DefaultB
179,DefaultB
180,DefaultB
181,DefaultB
182,DefaultB
185,DefaultB
186,DefaultB
187,DefaultC
188,DefaultC
189,DefaultC
190,DefaultC
192,DefaultC
193,DefaultC
194,TempPar
195,TempPar
196,TempPar
197,TempPar
198,TempPar
199,TempPar
200,VisCent
201,VisCent
202,VisCent
203,VisCent
206,VisCent
207,VisCent
209,VisCent
211,VisCent
212,VisPeri
213,VisPeri
214,VisPeri
215,VisPeri
216,VisPeri
217,VisPeri
218,VisPeri
219,VisPeri
220,VisPeri
221,VisPeri
223,SomMotA
224,SomMotA
225,SomMotA
226,SomMotA
227,SomMotA
228,SomMotA
229,SomMotA
230,SomMotA
231,SomMotA
232,SomMotA
233,SomMotA
234,SomMotA
236,SomMotA
237,SomMotA
243,SomMotB
244,SomMotB
245,SomMotB
246,SomMotB
247,SomMotB
248,SomMotB
249,SomMotB
250,SomMotB
251,SomMotB
252,SomMotB
253,SomMotB
254,SomMotB
255,SomMotB
256,SomMotB
257,SomMotB
260,DorsAttnA
261,DorsAttnA
262,DorsAttnA
263,DorsAttnA
264,DorsAttnA
265,DorsAttnA
267,DorsAttnA
268,DorsAttnA
269,DorsAttnA
270,DorsAttnA
272,DorsAttnB
273,DorsAttnB
274,DorsAttnB
275,DorsAttnB
276,DorsAttnB
277,DorsAttnB
278,DorsAttnB
281,DorsAttnB
282,DorsAttnB
283,DorsAttnB
284,SalVentAttnA
285,SalVentAttnA
286,SalVentAttnA
287,SalVentAttnA
288,SalVentAttnA
289,SalVentAttnA
290,SalVentAttnA
291,SalVentAttnA
292,SalVentAttnA
293,SalVentAttnA
294,SalVentAttnA
295,SalVentAttnA
296,SalVentAttnA
297,SalVentAttnA
298,SalVentAttnA
299,SalVentAttnA
300,SalVentAttnA
301,SalVentAttnA
303,SalVentAttnB
304,SalVentAttnB
305,SalVentAttnB
306,SalVentAttnB
307,SalVentAttnB
308,SalVentAttnB
309,SalVentAttnB
310,SalVentAttnB
311,SalVentAttnB
324,ContA
325,ContA
326,ContA
327,ContA
328,ContA
329,ContA
330,ContA
331,ContA
332,ContA
333,ContA
334,ContA
337,ContB
339,ContB
340,ContB
341,ContB
342,ContB
343,ContB
344,ContB
349,ContB
350,ContC
351,ContC
352,ContC
353,ContC
354,ContC
355,ContC
356,ContC
358,DefaultA
359,DefaultA
360,DefaultA
361,DefaultA
362,DefaultA
363,DefaultA
364,DefaultA
365,DefaultA
366,DefaultA
369,DefaultA
370,DefaultA
372,DefaultA
374,DefaultB
376,DefaultB
377,DefaultB
378,DefaultB
381,DefaultB
382,DefaultB
383,DefaultB
384,DefaultC
386,DefaultC
387,DefaultC
389,DefaultC
391,TempPar
392,TempPar
393,TempPar
394,TempPar
395,TempPar
396,TempPar
397,TempPar
398,TempPar
399,TempPar
400,Sub-Cortical
401,Sub-Cortical
402,Sub-Cortical
403,Sub-Cortical
405,Sub-Cortical
409,Sub-Cortical
410,Sub-Cortical
411,Sub-Cortical
412,Sub-Cortical
413,Sub-Cortical
420,Cerebellum
435,Sub-Cortical
436,Sub-Cortical
437,Sub-Cortical
438,Sub-Cortical
